Sector,Price,Volume,Growth,Volatility,Seasonality,Sharpe Ratio,Max Drawdown
Consumer Discretionary,0.5775651777656354,0.12631430540623162,0.40200929481834347,0.8137570597702106,0.6841162548081549,0.5260121934713442,0.0
Consumer Staples,0.3468619286457088,0.170405851634565,0.13302000506881467,0.10978356574366765,0.7714036364223634,0.24745794290849377,0.6416484408967575
Energy,0.15216289712409742,0.19176777963019237,1.0,1.0000000000000002,0.0,0.8780238560749456,0.2889868776718729
Financials,0.6875663953639057,0.04245154867000367,0.9144790947346327,0.42422758689609785,0.6142215558122365,1.0,0.6877530808892636
Health Care,0.9599837027292539,0.06138957771923323,0.27488360257886757,0.331872901947629,0.7171853680981056,0.36663341232920754,0.428912930881193
Industrials,1.0,0.0,0.8393717969870355,0.4254040292919341,0.7437407649058164,0.8905360998540983,0.7323925289986257
Information Technology,0.8534049051266128,0.48814183938032,0.7093451736705875,0.640678369629694,0.517442993109504,0.71385411321449,0.27460927336409036
Materials,0.5184747095599203,0.014156438445046882,0.47031586228050337,0.5500772964861709,0.5874364328911493,0.5229392288237489,0.17764020461103636
Real Estate,0.4786477008412507,0.01954355777563252,0.24312048520910937,0.45844376079243254,0.6936635342538892,0.3111682026233353,0.22625860557375077
Telecommunication Services,0.0,0.9999999999999998,0.0,0.0,0.3885343495877486,0.0,0.3191530998138501
Utilities,0.19525288690572523,0.07586087525330432,0.34876567186948615,0.055927945817813685,1.0,0.46689351851818645,1.0
